Country,Happiness Rank,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Life Choices,Perceptions of Corruption,Generosity
Libya,68,5.525,1.102,1.358,0.52,0.466,0.093,0.152
Turkey,69,5.5,1.198,1.338,0.638,0.301,0.1,0.047
Paraguay,70,5.493,0.933,1.507,0.579,0.474,0.091,0.224
"Hong Kong S.A.R., China",71,5.472,1.552,1.263,0.943,0.491,0.294,0.374
Philippines,72,5.43,0.858,1.254,0.468,0.585,0.099,0.194
Serbia,73,5.395,1.069,1.258,0.651,0.209,0.041,0.22
Jordan,74,5.336,0.991,1.239,0.605,0.418,0.12,0.172
Hungary,75,5.324,1.286,1.343,0.688,0.176,0.037,0.078
Jamaica,76,5.311,0.926,1.368,0.641,0.474,0.055,0.234
Croatia,77,5.293,1.223,0.968,0.701,0.256,0.043,0.248
Kosovo,78,5.279,0.951,1.138,0.541,0.26,0.057,0.32
China,79,5.273,1.081,1.161,0.741,0.473,0.023,0.029
Pakistan,80,5.269,0.727,0.673,0.402,0.235,0.124,0.315
Indonesia,81,5.262,0.996,1.274,0.492,0.443,0.015,0.612
Venezuela,82,5.25,1.128,1.431,0.617,0.154,0.064,0.065
Montenegro,83,5.237,1.121,1.238,0.667,0.195,0.088,0.198
Morocco,84,5.235,0.878,0.775,0.598,0.408,0.088,0.032
Azerbaijan,85,5.234,1.154,1.152,0.541,0.398,0.181,0.045
Dominican Republic,86,5.23,1.079,1.402,0.575,0.553,0.114,0.187
Greece,87,5.227,1.289,1.239,0.81,0.096,0.043,0.0
Lebanon,88,5.225,1.075,1.13,0.735,0.289,0.038,0.264
Portugal,89,5.195,1.315,1.367,0.796,0.498,0.016,0.095
Bosnia and Herzegovina,90,5.182,0.982,1.069,0.705,0.204,0.0,0.329
Honduras,91,5.181,0.731,1.144,0.583,0.348,0.073,0.236
Macedonia,92,5.175,1.065,1.208,0.645,0.326,0.06,0.254
Somalia,93,5.151,0.023,0.721,0.114,0.602,0.282,0.292
Vietnam,94,5.074,0.789,1.277,0.652,0.571,0.088,0.235
Nigeria,95,5.074,0.784,1.216,0.057,0.395,0.026,0.231
Tajikistan,96,5.041,0.525,1.271,0.529,0.472,0.146,0.249
Bhutan,97,5.011,0.885,1.34,0.496,0.502,0.173,0.474
Kyrgyzstan,98,5.004,0.596,1.394,0.553,0.455,0.039,0.429
Nepal,99,4.962,0.48,1.179,0.504,0.44,0.073,0.394
Mongolia,100,4.955,1.027,1.493,0.558,0.394,0.033,0.338
South Africa,101,4.829,1.055,1.385,0.187,0.479,0.073,0.139
Tunisia,102,4.805,1.007,0.868,0.613,0.29,0.087,0.05
Palestinian Territories,103,4.775,0.716,1.156,0.566,0.255,0.089,0.114
Egypt,104,4.735,0.99,0.997,0.52,0.282,0.114,0.129
Bulgaria,105,4.714,1.161,1.434,0.708,0.289,0.011,0.113
Sierra Leone,106,4.709,0.368,0.984,0.006,0.319,0.071,0.293
Cameroon,107,4.695,0.564,0.946,0.133,0.43,0.051,0.236
Iran,108,4.692,1.157,0.712,0.639,0.249,0.049,0.387
Albania,109,4.644,0.996,0.804,0.731,0.381,0.04,0.201
Bangladesh,110,4.608,0.587,0.735,0.533,0.478,0.124,0.172
Namibia,111,4.574,0.964,1.098,0.339,0.52,0.093,0.077
Kenya,112,4.553,0.56,1.068,0.31,0.453,0.065,0.445
Mozambique,113,4.55,0.234,0.871,0.107,0.481,0.179,0.322
Myanmar,114,4.545,0.367,1.123,0.398,0.514,0.189,0.838
Senegal,115,4.535,0.479,1.18,0.409,0.378,0.115,0.183
Zambia,116,4.514,0.636,1.003,0.258,0.462,0.078,0.25
Iraq,117,4.497,1.103,0.979,0.501,0.289,0.107,0.2
Gabon,118,4.465,1.198,1.156,0.357,0.312,0.076,0.044
Ethiopia,119,4.46,0.339,0.865,0.353,0.409,0.165,0.313
Sri Lanka,120,4.44,1.01,1.26,0.625,0.561,0.074,0.491
Armenia,121,4.376,0.901,1.007,0.638,0.198,0.027,0.083
India,122,4.315,0.792,0.754,0.455,0.47,0.092,0.232
Mauritania,123,4.292,0.648,1.272,0.285,0.096,0.137,0.202
Congo (Brazzaville),124,4.291,0.809,0.832,0.29,0.435,0.08,0.121
Georgia,125,4.286,0.951,0.571,0.65,0.309,0.252,0.054
Congo (Kinshasa),126,4.28,0.092,1.229,0.191,0.236,0.06,0.246
Mali,127,4.19,0.476,1.281,0.169,0.307,0.105,0.183
Ivory Coast,128,4.18,0.603,0.905,0.049,0.448,0.13,0.201
Cambodia,129,4.168,0.602,1.006,0.43,0.633,0.068,0.386
Sudan,130,4.139,0.66,1.214,0.291,0.015,0.09,0.182
Ghana,131,4.12,0.667,0.874,0.296,0.423,0.025,0.257
Ukraine,132,4.096,0.895,1.395,0.576,0.123,0.023,0.27
Uganda,133,4.081,0.381,1.13,0.218,0.443,0.057,0.326
Burkina Faso,134,4.032,0.35,1.043,0.216,0.324,0.12,0.251
Niger,135,4.028,0.162,0.993,0.269,0.364,0.139,0.229
Malawi,136,3.97,0.233,0.513,0.315,0.467,0.073,0.287
Chad,137,3.936,0.438,0.954,0.041,0.162,0.054,0.216
Zimbabwe,138,3.875,0.376,1.083,0.197,0.336,0.095,0.189
Lesotho,139,3.808,0.521,1.19,0.0,0.391,0.119,0.157
Angola,140,3.795,0.858,1.104,0.05,0.0,0.07,0.098
Afghanistan,141,3.794,0.401,0.582,0.181,0.106,0.061,0.312
Botswana,142,3.766,1.122,1.222,0.342,0.505,0.099,0.099
Benin,143,3.657,0.431,0.435,0.21,0.426,0.061,0.208
Madagascar,144,3.644,0.306,0.913,0.375,0.189,0.067,0.209
Haiti,145,3.603,0.369,0.64,0.277,0.03,0.1,0.489
Yemen,146,3.593,0.592,0.935,0.31,0.249,0.057,0.104
South Sudan,147,3.591,0.397,0.601,0.163,0.147,0.117,0.286
Liberia,148,3.533,0.119,0.872,0.23,0.333,0.039,0.267
Guinea,149,3.507,0.245,0.791,0.194,0.349,0.111,0.265
Togo,150,3.495,0.305,0.432,0.247,0.38,0.096,0.197
Rwanda,151,3.471,0.369,0.946,0.326,0.582,0.455,0.253
Syria,152,3.462,0.777,0.396,0.501,0.082,0.151,0.494
Tanzania,153,3.349,0.511,1.042,0.365,0.39,0.066,0.354
Burundi,154,2.905,0.092,0.63,0.152,0.06,0.084,0.204
Central African Republic,155,2.693,0.0,0.0,0.019,0.271,0.057,0.281
Finland,1,7.632,1.305,1.592,0.874,0.681,0.393,0.202
Norway,2,7.594,1.456,1.582,0.861,0.686,0.34,0.286
Denmark,3,7.555,1.351,1.59,0.868,0.683,0.408,0.284
Iceland,4,7.495,1.343,1.644,0.914,0.677,0.138,0.353
Switzerland,5,7.487,1.42,1.549,0.927,0.66,0.357,0.256
Netherlands,6,7.441,1.361,1.488,0.878,0.638,0.295,0.333
Canada,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321
New Zealand,8,7.324,1.268,1.601,0.876,0.669,0.389,0.365
Sweden,9,7.314,1.355,1.501,0.913,0.659,0.383,0.285
Australia,10,7.272,1.34,1.573,0.91,0.647,0.302,0.361
United Kingdom,11,7.19,1.244,1.433,0.888,0.464,0.082,0.262
Austria,12,7.139,1.341,1.504,0.891,0.617,0.224,0.242
Costa Rica,13,7.072,1.01,1.459,0.817,0.632,0.101,0.143
Ireland,14,6.977,1.448,1.583,0.876,0.614,0.306,0.307
Germany,15,6.965,1.34,1.474,0.861,0.586,0.28,0.273
Belgium,16,6.927,1.324,1.483,0.894,0.583,0.24,0.188
Luxembourg,17,6.91,1.576,1.52,0.896,0.632,0.321,0.196
United States,18,6.886,1.398,1.471,0.819,0.547,0.133,0.291
Israel,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354
United Arab Emirates,20,6.774,2.096,0.776,0.67,0.284,0.129,0.186
Czech Republic,21,6.711,1.233,1.489,0.854,0.543,0.034,0.064
Malta,22,6.627,1.27,1.525,0.884,0.645,0.142,0.376
France,23,6.489,1.293,1.466,0.908,0.52,0.176,0.098
Mexico,24,6.488,1.038,1.252,0.761,0.479,0.095,0.069
Chile,25,6.476,1.131,1.331,0.808,0.431,0.061,0.197
Taiwan,26,6.441,1.365,1.436,0.857,0.418,0.078,0.151
Panama,27,6.43,1.112,1.438,0.759,0.597,0.063,0.125
Brazil,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11
Argentina,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062
Guatemala,30,6.382,0.781,1.268,0.608,0.604,0.071,0.179
Uruguay,31,6.379,1.093,1.459,0.771,0.625,0.155,0.13
Qatar,32,6.374,1.649,1.303,0.748,0.654,0.171,0.256
Saudi Arabia,33,6.371,1.379,1.331,0.633,0.509,0.127,0.098
Singapore,34,6.343,1.529,1.451,1.008,0.631,0.457,0.261
Malaysia,35,6.322,1.161,1.258,0.669,0.356,0.059,0.311
Spain,36,6.31,1.251,1.538,0.965,0.449,0.074,0.142
Colombia,37,6.26,0.96,1.439,0.635,0.531,0.039,0.099
Trinidad & Tobago,38,6.192,1.223,1.492,0.564,0.575,0.019,0.171
Slovakia,39,6.173,1.21,1.537,0.776,0.354,0.014,0.118
El Salvador,40,6.167,0.806,1.231,0.639,0.461,0.082,0.065
Nicaragua,41,6.141,0.668,1.319,0.7,0.527,0.128,0.208
Poland,42,6.123,1.176,1.448,0.781,0.546,0.064,0.108
Bahrain,43,6.105,1.338,1.366,0.698,0.594,0.123,0.243
Uzbekistan,44,6.096,0.719,1.584,0.605,0.724,0.259,0.328
Kuwait,45,6.083,1.474,1.301,0.675,0.554,0.106,0.167
Thailand,46,6.072,1.016,1.417,0.707,0.637,0.029,0.364
Italy,47,6.0,1.264,1.501,0.946,0.281,0.028,0.137
Ecuador,48,5.973,0.889,1.33,0.736,0.556,0.12,0.114
Belize,49,5.956,0.807,1.101,0.474,0.593,0.089,0.183
Lithuania,50,5.952,1.197,1.527,0.716,0.35,0.006,0.026
Slovenia,51,5.948,1.219,1.506,0.856,0.633,0.051,0.16
Romania,52,5.945,1.116,1.219,0.726,0.528,0.001,0.088
Latvia,53,5.933,1.148,1.454,0.671,0.363,0.066,0.092
Japan,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079
Mauritius,55,5.891,1.09,1.387,0.684,0.584,0.05,0.245
Jamaica,56,5.89,0.819,1.493,0.693,0.575,0.031,0.096
South Korea,57,5.875,1.266,1.204,0.955,0.244,0.051,0.175
Northern Cyprus,58,5.835,1.229,1.211,0.909,0.495,0.154,0.179
Russia,59,5.81,1.151,1.479,0.599,0.399,0.025,0.065
Kazakhstan,60,5.79,1.143,1.516,0.631,0.454,0.121,0.148
Cyprus,61,5.762,1.229,1.191,0.909,0.423,0.035,0.202
Bolivia,62,5.752,0.751,1.223,0.508,0.606,0.054,0.141
Estonia,63,5.739,1.2,1.532,0.737,0.553,0.174,0.086
Paraguay,64,5.681,0.835,1.522,0.615,0.541,0.074,0.162
Peru,65,5.663,0.934,1.249,0.674,0.53,0.034,0.092
Kosovo,66,5.662,0.855,1.23,0.578,0.448,0.023,0.274
Moldova,67,5.64,0.657,1.301,0.62,0.232,0.0,0.171
Turkmenistan,68,5.636,1.016,1.533,0.517,0.417,0.037,0.199
Hungary,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061
Libya,70,5.566,0.985,1.35,0.553,0.496,0.148,0.116
Philippines,71,5.524,0.775,1.312,0.513,0.643,0.105,0.12
Honduras,72,5.504,0.62,1.205,0.622,0.459,0.074,0.197
Belarus,73,5.483,1.039,1.498,0.7,0.307,0.154,0.101
Turkey,74,5.483,1.148,1.38,0.686,0.324,0.109,0.106
Pakistan,75,5.472,0.652,0.81,0.424,0.334,0.113,0.216
Hong Kong,76,5.43,1.405,1.29,1.03,0.524,0.291,0.246
Portugal,77,5.41,1.188,1.429,0.884,0.562,0.017,0.055
Serbia,78,5.398,0.975,1.369,0.685,0.288,0.043,0.134
Greece,79,5.358,1.154,1.202,0.879,0.131,0.044,0.0
Lebanon,80,5.358,0.965,1.179,0.785,0.503,0.136,0.214
Montenegro,81,5.347,1.017,1.279,0.729,0.259,0.081,0.111
Croatia,82,5.321,1.115,1.161,0.737,0.38,0.039,0.12
Dominican Republic,83,5.302,0.982,1.441,0.614,0.578,0.106,0.12
Algeria,84,5.295,0.979,1.154,0.687,0.077,0.135,0.055
Morocco,85,5.254,0.779,0.797,0.669,0.46,0.074,0.026
China,86,5.246,0.989,1.142,0.799,0.597,0.103,0.029
Azerbaijan,87,5.201,1.024,1.161,0.603,0.43,0.176,0.031
Tajikistan,88,5.199,0.474,1.166,0.598,0.292,0.034,0.187
Macedonia,89,5.185,0.959,1.239,0.691,0.394,0.052,0.173
Jordan,90,5.161,0.822,1.265,0.645,0.468,0.134,0.13
Nigeria,91,5.155,0.689,1.172,0.048,0.462,0.032,0.201
Kyrgyzstan,92,5.131,0.53,1.416,0.594,0.54,0.035,0.281
Bosnia and Herzegovina,93,5.129,0.915,1.078,0.758,0.28,0.0,0.216
Mongolia,94,5.125,0.914,1.517,0.575,0.395,0.032,0.253
Vietnam,95,5.103,0.715,1.365,0.702,0.618,0.079,0.177
Indonesia,96,5.093,0.899,1.215,0.522,0.538,0.018,0.484
Bhutan,97,5.082,0.796,1.335,0.527,0.541,0.171,0.364
Somalia,98,4.982,0.0,0.712,0.115,0.674,0.282,0.238
Cameroon,99,4.975,0.535,0.891,0.182,0.454,0.043,0.183
Bulgaria,100,4.933,1.054,1.515,0.712,0.359,0.009,0.064
Nepal,101,4.88,0.425,1.228,0.539,0.526,0.078,0.302
Venezuela,102,4.806,0.996,1.469,0.657,0.133,0.052,0.056
Gabon,103,4.758,1.036,1.164,0.404,0.356,0.052,0.032
Palestinian Territories,104,4.743,0.642,1.217,0.602,0.266,0.076,0.086
South Africa,105,4.724,0.94,1.41,0.33,0.516,0.056,0.103
Iran,106,4.707,1.059,0.771,0.691,0.459,0.129,0.282
Ivory Coast,107,4.671,0.541,0.872,0.08,0.467,0.103,0.146
Ghana,108,4.657,0.592,0.896,0.337,0.499,0.029,0.212
Senegal,109,4.631,0.429,1.117,0.433,0.406,0.082,0.138
Laos,110,4.623,0.72,1.034,0.441,0.626,0.174,0.23
Tunisia,111,4.592,0.9,0.906,0.69,0.271,0.063,0.04
Albania,112,4.586,0.916,0.817,0.79,0.419,0.032,0.149
Sierra Leone,113,4.571,0.256,0.813,0.0,0.355,0.053,0.238
Congo (Brazzaville),114,4.559,0.682,0.811,0.343,0.514,0.077,0.091
Bangladesh,115,4.5,0.532,0.85,0.579,0.58,0.144,0.153
Sri Lanka,116,4.471,0.918,1.314,0.672,0.585,0.05,0.307
Iraq,117,4.456,1.01,0.971,0.536,0.304,0.095,0.148
Mali,118,4.447,0.37,1.233,0.152,0.367,0.056,0.139
Namibia,119,4.441,0.874,1.281,0.365,0.519,0.064,0.051
Cambodia,120,4.433,0.549,1.088,0.457,0.696,0.065,0.256
Burkina Faso,121,4.424,0.314,1.097,0.254,0.312,0.128,0.175
Egypt,122,4.419,0.885,1.025,0.553,0.312,0.107,0.092
Mozambique,123,4.417,0.198,0.902,0.173,0.531,0.158,0.206
Kenya,124,4.41,0.493,1.048,0.454,0.504,0.055,0.352
Zambia,125,4.377,0.562,1.047,0.295,0.503,0.082,0.221
Mauritania,126,4.356,0.557,1.245,0.292,0.129,0.093,0.134
Ethiopia,127,4.35,0.308,0.95,0.391,0.452,0.146,0.22
Georgia,128,4.34,0.853,0.592,0.643,0.375,0.215,0.038
Armenia,129,4.321,0.816,0.99,0.666,0.26,0.028,0.077
Myanmar,130,4.308,0.682,1.174,0.429,0.58,0.178,0.598
Chad,131,4.301,0.358,0.907,0.053,0.189,0.06,0.181
Congo (Kinshasa),132,4.245,0.069,1.136,0.204,0.312,0.052,0.197
India,133,4.19,0.721,0.747,0.485,0.539,0.093,0.172
Niger,134,4.166,0.131,0.867,0.221,0.39,0.099,0.175
Uganda,135,4.161,0.322,1.09,0.237,0.45,0.061,0.259
Benin,136,4.141,0.378,0.372,0.24,0.44,0.067,0.163
Sudan,137,4.139,0.605,1.24,0.312,0.016,0.082,0.134
Ukraine,138,4.103,0.793,1.413,0.609,0.163,0.011,0.187
Togo,139,3.999,0.259,0.474,0.253,0.434,0.101,0.158
Guinea,140,3.964,0.344,0.792,0.211,0.394,0.094,0.185
Lesotho,141,3.808,0.472,1.215,0.079,0.423,0.112,0.116
Angola,142,3.795,0.73,1.125,0.269,0.0,0.061,0.079
Madagascar,143,3.774,0.262,0.908,0.402,0.221,0.049,0.155
Zimbabwe,144,3.692,0.357,1.094,0.248,0.406,0.099,0.132
Afghanistan,145,3.632,0.332,0.537,0.255,0.085,0.036,0.191
Botswana,146,3.59,1.017,1.174,0.417,0.557,0.092,0.042
Malawi,147,3.587,0.186,0.541,0.306,0.531,0.08,0.21
Haiti,148,3.582,0.315,0.714,0.289,0.025,0.104,0.392
Liberia,149,3.495,0.076,0.858,0.267,0.419,0.03,0.206
Syria,150,3.462,0.689,0.382,0.539,0.088,0.144,0.376
Rwanda,151,3.408,0.332,0.896,0.4,0.636,0.444,0.2
Yemen,152,3.355,0.442,1.073,0.343,0.244,0.064,0.083
Tanzania,153,3.303,0.455,0.991,0.381,0.481,0.097,0.27
South Sudan,154,3.254,0.337,0.608,0.177,0.112,0.106,0.224
Central African Republic,155,3.083,0.024,0.0,0.01,0.305,0.038,0.218
Burundi,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149
